+----------------+-------------------------+-----------+--------------+-------------+
|   ЛИТКОР-З_газ | №партии                 |   к стали |   с подплавл |   в нахлест |
|            422 | п090919(16.09.19)       |      29.9 |         29.2 |        30.4 |
|            423 | п080919(17.09.19)       |      28   |         27.5 |        28.6 |
|            424 | п090919(17.09.19)       |      30.4 |         29.5 |        30.8 |
|            425 | п080919(30.09.19)       |      27.6 |         26.8 |        27.7 |
|            426 | п090919(30.09.19)       |      29   |         27.8 |        28.8 |
|            427 | п071019(04.10.19)       |      28.1 |         27.2 |        27.6 |
|            428 | п151019(25.10.19)       |      28.8 |         28   |        28.4 |
|            429 | п071019(28.10.19)       |      28   |         28.1 |        28.1 |
|            430 | п151019(28.10.19)       |      29.7 |         29.9 |        29.9 |
|            431 | п061119(08.11.19)       |      29.8 |        nan   |        29.2 |
|            432 | п071119(08.11.19)       |      27.9 |        nan   |        28   |
|            433 | п071119(11.11.19)       |      29.3 |        nan   |        29.5 |
|            434 | п061119(11.11.19)       |      27.7 |        nan   |        27.9 |
|            435 | п081219(04.12.19)       |      28.6 |        nan   |        28.2 |
|            436 | п081219(16.12.19)       |      28.2 |        nan   |        29   |
|            437 | п101219(16.12.19)       |      29.4 |        nan   |        29.8 |
|            438 | п081219(23.12.19)       |      28.7 |        nan   |        27.9 |
|            439 | п101219(23.12.19)       |      29.8 |        nan   |        29.3 |
|            440 | п020420(13.04.20)       |      29.8 |        nan   |        30.4 |
|            441 | п020420(23.04..20)      |      32.4 |        nan   |        32.8 |
|            442 | п020420(26.04.20)       |      30.4 |        nan   |        30.8 |
|            443 | п110720(28.07.20) т.1.0 |      25.5 |        nan   |        25.6 |
|            444 | п130920(19.09.20)       |      31.8 |        nan   |        31.6 |
|            445 | п120920(18.09.20) т.1.0 |      25.3 |        nan   |        25.5 |
|            446 | п140920(26.09.20)       |      32.5 |        nan   |        32.8 |
|            447 | п130920(26.09.20)       |      32   |        nan   |        32.2 |
|            448 | п140920(30.09.20)       |      32.9 |        nan   |        33.3 |
|            449 | п031020(01.10.20)       |      29.8 |        nan   |        30   |
|            450 | п031020(13.10.20)       |      29.9 |        nan   |        30.2 |
|            451 | П031020(23.10.20)       |      30.7 |        nan   |        31   |
|            452 | П031020(28.10.20)       |      30.8 |        nan   |        31.1 |
